Image,Grid_Size,kappa,lambda_geo,K,h_star,HE_time,HE_h_max,HE_gap,HE_success,DIJ_time,DIJ_h_max,DIJ_gap,DIJ_success,Speedup_Dijkstra_vs_HE
ost003d.png,512,-1.0,0.7,500000,0.03137254901960784,0.10378320002928376,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.319293487460164
ost003d.png,1024,-0.5,0.25,500000,0.0,0.2565434999996796,0.0,nan,True,2.267894899996463,0.0,nan,True,8.840196301988923
ost003d.png,1024,-0.5,0.35,500000,0.0,0.2466444000019692,0.0,nan,True,2.267894899996463,0.0,nan,True,9.19499854842987
ost003d.png,1024,-0.5,0.5,500000,0.0,0.24544029997196048,0.0,nan,True,2.267894899996463,0.0,nan,True,9.240108084351068
ost003d.png,1024,-0.5,0.7,500000,0.0,0.24195029999827966,0.0,nan,True,2.267894899996463,0.0,nan,True,9.373391560219552
ost003d.png,1024,-0.75,0.25,500000,0.0,0.26451329997507855,0.0,nan,True,2.267894899996463,0.0,nan,True,8.573840711261536
ost003d.png,1024,-0.75,0.35,500000,0.0,0.23517070000525564,0.0,nan,True,2.267894899996463,0.0,nan,True,9.643611640165123
ost003d.png,1024,-0.75,0.5,500000,0.0,0.23920150002231821,0.0,nan,True,2.267894899996463,0.0,nan,True,9.481106513900881
ost003d.png,1024,-0.75,0.7,500000,0.0,0.24218040000414476,0.0,nan,True,2.267894899996463,0.0,nan,True,9.364485730297124
ost003d.png,1024,-1.0,0.25,500000,0.0,0.2500470000086352,0.0,nan,True,2.267894899996463,0.0,nan,True,9.069874463273475
ost003d.png,1024,-1.0,0.35,500000,0.0,0.23764279996976256,0.0,nan,True,2.267894899996463,0.0,nan,True,9.543293128531678
ost003d.png,1024,-1.0,0.5,500000,0.0,0.24609959998633713,0.0,nan,True,2.267894899996463,0.0,nan,True,9.215353865355212
ost003d.png,1024,-1.0,0.7,500000,0.0,0.2457933999830857,0.0,nan,True,2.267894899996463,0.0,nan,True,9.226834000231612
