DIJ_h_max,DIJ_time,EUC_h_max,EUC_time,Error,Grid,Grid_Size,HE_h_max,HE_time,H_Max,H_Max_Euclidean,H_Max_HEIBG,Iterations,Path_Len,Peak_RAM_MB,Phase,Seed,Solver,Speedup_Dijkstra_vs_HE,Speedup_Euclidean_vs_HE,Speedup_Euclidean_vs_HEIBG,Success,Success_Euclidean,Success_HEIBG,Time_Euclidean,Time_HEIBG,Time_Sec,Type,h_star
,,,,,512,,,,0.4835067620865758,,,1048576,951,20.922903060913086,,1,HE-IBG,,,,True,,,,,1.1557639999955427,Terrain,
,,,,,512,,,,0.5091013389185921,,,1048576,914,20.91946029663086,,2,HE-IBG,,,,True,,,,,1.1585688999912236,Terrain,
,,,,,512,,,,0.5128633184782753,,,1048576,1120,20.95539665222168,,3,HE-IBG,,,,True,,,,,1.0838497999939136,Terrain,
,,,,,512,,,,0.5828967511729884,,,1048576,1070,20.943281173706055,,4,HE-IBG,,,,True,,,,,1.0889101999928243,Terrain,
,,,,,256,,,,0.16505723414581505,,,221268,697,11.005606651306152,,2,Euclidean,,,,True,,,,,30.10789630000363,Maze,
,,,,,256,,,,0.16358419674773245,,,222500,565,10.925545692443848,,4,Euclidean,,,,True,,,,,30.109358999994583,Maze,
,,,,,256,,,,0.16258100939376513,,,223440,688,11.019588470458984,,3,Euclidean,,,,True,,,,,31.11998129999847,Maze,
,,,,,512,,,,0.5137254985812175,,,1048576,1311,45.40647220611572,,0,Euclidean,,,,True,,,,,154.93090259999735,Terrain,
,,,,,512,,,,0.46932456609939244,,,1048576,1494,45.38609600067139,,1,Euclidean,,,,True,,,,,154.37684969999827,Terrain,
,,,,,512,,,,0.6156936509603629,,,1048576,1080,24.41495990753174,,0,HE-IBG,,,,True,,,,,1.3178442000062205,Mining,
,,,,,512,,,,0.5091013389185921,,,1048576,788,45.18138790130615,,2,Euclidean,,,,True,,,,,155.32073609999497,Terrain,
,,,,,512,,,,0.6250331326370407,,,1048576,1182,24.437443733215332,,1,HE-IBG,,,,True,,,,,1.4501875000132713,Mining,
,,,,,512,,,,0.4904344100268579,,,1048576,1344,45.42501354217529,,3,Euclidean,,,,True,,,,,155.83738889999222,Terrain,
,,,,,512,,,,0.6505777148804496,,,1048576,1162,24.433476448059082,,2,HE-IBG,,,,True,,,,,1.4635912999801803,Mining,
,,,,,512,,,,0.604132986991716,,,1048576,1601,24.62255573272705,,3,HE-IBG,,,,True,,,,,1.486980899993796,Mining,
,,,,,512,,,,0.6013664810317219,,,1048576,1505,24.60045337677002,,4,HE-IBG,,,,True,,,,,1.4853505000064615,Mining,
,,,,,512,,,,0.5654346009328569,,,1048576,1181,45.23015785217285,,4,Euclidean,,,,True,,,,,162.29483349999646,Terrain,
,,,,,512,,,,0.5906397724919109,,,1048576,1723,55.4237642288208,,1,Euclidean,,,,True,,,,,161.67464579999796,Mining,
,,,,,512,,,,0.5912230052163558,,,1048576,1718,55.3265323638916,,0,Euclidean,,,,True,,,,,163.58223130000988,Mining,
,,,,,512,,,,0.5980794770984218,,,1048576,2137,55.37709712982178,,2,Euclidean,,,,True,,,,,163.2239812000189,Mining,
,,,,,512,,,,0.19243564307164426,,,895764,908,22.94588851928711,,0,HE-IBG,,,,True,,,,,1.1837178000132553,Maze,
,,,,,512,,,,0.17672381239672166,,,889824,914,22.94643783569336,,1,HE-IBG,,,,True,,,,,1.3555799000023399,Maze,
,,,,,512,,,,0.18205193942965786,,,893212,906,22.945758819580078,,2,HE-IBG,,,,True,,,,,1.2096852000104263,Maze,
,,,,,512,,,,0.17636166442556778,,,898128,934,22.94826889038086,,3,HE-IBG,,,,True,,,,,1.2097126999869943,Maze,
,,,,,512,,,,0.17629573141979749,,,890680,903,22.945430755615234,,4,HE-IBG,,,,True,,,,,1.1962384000071324,Maze,
,,,,,512,,,,0.600581194348883,,,1048576,1269,55.17157173156738,,3,Euclidean,,,,True,,,,,167.29981450000196,Mining,
,,,,,512,,,,0.16451696625675655,,,889824,1296,50.50794315338135,,1,Euclidean,,,,True,,,,,142.29490390000865,Maze,
,,,,,512,,,,0.1645697044722872,,,895764,2698,50.86373424530029,,0,Euclidean,,,,True,,,,,143.88204749999568,Maze,
,,,,,512,,,,0.5869698985245396,,,1048576,1431,55.33551502227783,,4,Euclidean,,,,True,,,,,166.62700779997976,Mining,
,,,,,1024,,,,0.5412002187479366,,,2000000,2014,83.50213623046875,,0,HE-IBG,,,,True,,,,,2.7576848000171594,Terrain,
,,,,,1024,,,,0.5524114690271801,,,2000000,2291,83.56543922424316,,1,HE-IBG,,,,True,,,,,3.0618970000068657,Terrain,
,,,,,1024,,,,0.5016288941859374,,,2000000,2231,83.54914283752441,,2,HE-IBG,,,,True,,,,,2.948175600002287,Terrain,
,,,,,1024,,,,0.5046137254417268,,,2000000,2436,83.59420204162598,,3,HE-IBG,,,,True,,,,,2.7044070000119973,Terrain,
,,,,,1024,,,,0.5441633345123106,,,2000000,2775,83.66639137268066,,4,HE-IBG,,,,True,,,,,2.716078400000697,Terrain,
,,,,,512,,,,0.16483228633500233,,,893212,1807,50.651309967041016,,2,Euclidean,,,,True,,,,,145.3951068999886,Maze,
,,,,,512,,,,0.16306311745206664,,,890680,1713,50.59395408630371,,4,Euclidean,,,,True,,,,,144.94403810001677,Maze,
,,,,,512,,,,0.16449406583561985,,,898128,1539,50.73243045806885,,3,Euclidean,,,,True,,,,,147.46811180000077,Maze,
,,,,,1024,,,,0.5294607282891709,,,2000000,4540,120.30416965484619,,0,Euclidean,,,,True,,,,,362.4035007999919,Terrain,
,,,,,1024,,,,0.5387415618492929,,,2000000,4346,119.20733070373535,,1,Euclidean,,,,True,,,,,370.54620859998977,Terrain,
,,,,,1024,,,,0.6075187436026609,,,2000000,2620,96.87156772613525,,0,HE-IBG,,,,True,,,,,3.377584999980172,Mining,
,,,,,1024,,,,0.5004254969099565,,,2000000,3012,119.44469261169434,,2,Euclidean,,,,True,,,,,372.6770819000085,Terrain,
,,,,,1024,,,,0.6190007356621905,,,2000000,3682,97.10115146636963,,1,HE-IBG,,,,True,,,,,3.1749389999895357,Mining,
,,,,,1024,,,,0.5033953405569458,,,2000000,3889,120.41346168518066,,3,Euclidean,,,,True,,,,,373.1592498999962,Terrain,
,,,,,1024,,,,0.604615288865832,,,2000000,3329,97.02404880523682,,2,HE-IBG,,,,True,,,,,3.6372927999764215,Mining,
,,,,,1024,,,,0.6014193391164514,,,2000000,3435,97.04507541656494,,3,HE-IBG,,,,True,,,,,3.7097359000181314,Mining,
,,,,,1024,,,,0.6006538437108455,,,2000000,2557,96.85412693023682,,4,HE-IBG,,,,True,,,,,3.417561099980958,Mining,
,,,,,1024,,,,inf,,,2000000,0,119.20501041412354,,4,Euclidean,,,,False,,,,,385.1387754000025,Terrain,
,,,,,1024,,,,0.5941599044318846,,,2000000,4514,189.33160972595215,,1,Euclidean,,,,True,,,,,524.646705000021,Mining,
,,,,,1024,,,,0.5952232943107587,,,2000000,5057,189.71077156066895,,0,Euclidean,,,,True,,,,,527.8279124999826,Mining,
,,,,,1024,,,,0.16565171753258545,,,2000000,2445,91.32830047607422,,0,HE-IBG,,,,True,,,,,4.138479799992638,Maze,
,,,,,1024,,,,0.589831841180088,,,2000000,3339,189.69979667663574,,2,Euclidean,,,,True,,,,,533.3392318999977,Mining,
,,,,,1024,,,,0.16895650436443532,,,2000000,2053,91.24609375,,1,HE-IBG,,,,True,,,,,3.937213299999712,Maze,
,,,,,1024,,,,0.16653606604691037,,,2000000,2427,91.3247299194336,,2,HE-IBG,,,,True,,,,,3.9480581999814603,Maze,
,,,,,1024,,,,0.17080668805912705,,,2000000,2337,91.30687713623047,,3,HE-IBG,,,,True,,,,,3.7876225000072736,Maze,
,,,,,1024,,,,0.16857430001283868,,,2000000,2212,91.2776870727539,,4,HE-IBG,,,,True,,,,,3.6593592000135686,Maze,
,,,,,,,,,,,,,,,Initial,,,,,,True,,,,,0.1680573000048753,,
,,,,,,,,,,,,,,,Replan,,,,,,True,,,,,0.12384809998911805,,
